Ref,Val,Package,PosX,PosY,Rot,Side
"R2742","10K","R_0805_2012Metric",65.271400,-18.538200,90.000000,bottom
"R2743","1K","R_0805_2012Metric",67.811400,-18.538200,270.000000,bottom
"R2744","100R","R_2512_6332Metric",70.605400,-50.796200,180.000000,bottom
"R2745","100R","R_2512_6332Metric",70.605400,-58.924200,180.000000,bottom
"R2746","100R","R_2512_6332Metric",70.605400,-54.860200,180.000000,bottom
"R2747","100R","R_2512_6332Metric",70.605400,-46.732200,180.000000,bottom
"R2748","100R","R_2512_6332Metric",70.605400,-42.668200,180.000000,bottom
"R2749","100R","R_2512_6332Metric",70.605400,-30.476200,180.000000,bottom
"R2750","100R","R_2512_6332Metric",70.605400,-38.604200,180.000000,bottom
"R2751","100R","R_2512_6332Metric",70.605400,-34.512200,180.000000,bottom
"R2752","100R","R_2512_6332Metric",70.605400,-26.412200,180.000000,bottom
"R2753","100R","R_2512_6332Metric",70.605400,-22.348200,180.000000,bottom
"R2754","330R","R_0805_2012Metric",68.654400,-62.226200,0.000000,bottom
"R2755","330R","R_0805_2012Metric",67.861400,-7.478200,180.000000,bottom
"R2756","10K","R_0805_2012Metric",73.399400,-18.538200,90.000000,bottom
"R2801","1K","R_0805_2012Metric",43.454000,-80.508000,270.000000,bottom
"R2802","100R","R_2512_6332Metric",46.248000,-116.830000,180.000000,bottom
"R2803","100R","R_2512_6332Metric",46.248000,-112.766000,180.000000,bottom
"R2804","100R","R_2512_6332Metric",46.248000,-120.894000,180.000000,bottom
"R2805","100R","R_2512_6332Metric",46.248000,-108.702000,180.000000,bottom
"R2806","100R","R_2512_6332Metric",46.248000,-96.510000,180.000000,bottom
"R2807","100R","R_2512_6332Metric",46.248000,-104.610000,180.000000,bottom
"R2808","100R","R_2512_6332Metric",46.248000,-100.574000,180.000000,bottom
"R2809","100R","R_2512_6332Metric",46.248000,-92.446000,180.000000,bottom
"R2810","100R","R_2512_6332Metric",46.248000,-88.382000,180.000000,bottom
"R2811","100R","R_2512_6332Metric",46.248000,-84.318000,180.000000,bottom
"R2812","330R","R_0805_2012Metric",44.250000,-123.942000,0.000000,bottom
"R2813","330R","R_0805_2012Metric",67.888000,-75.544000,180.000000,bottom
"R2814","10K","R_0805_2012Metric",49.042000,-80.508000,90.000000,bottom
"R2815","1K","R_0805_2012Metric",51.582000,-80.508000,270.000000,bottom
"R2816","100R","R_2512_6332Metric",54.376000,-120.894000,180.000000,bottom
"R2817","100R","R_2512_6332Metric",54.376000,-116.830000,180.000000,bottom
"R2818","100R","R_2512_6332Metric",54.376000,-112.766000,180.000000,bottom
"R2819","100R","R_2512_6332Metric",54.376000,-108.702000,180.000000,bottom
