Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
JP601,0R,zero_ohm_resistor_0805,11.154,-14.58,180,top
JP602,0R,zero_ohm_resistor_0805,32.649,-14.555,0,top
JP603,0R,zero_ohm_resistor_0805,11.892,-29.566,0,top
JP701,0R,zero_ohm_resistor_0805,11.025,-102.232,180,top
JP702,0R,zero_ohm_resistor_0805,32.52,-102.207,0,top
JP703,0R,zero_ohm_resistor_0805,11.763,-117.218,0,top
JP801,0R,zero_ohm_resistor_0805,11.025,-76.488,180,top
JP802,0R,zero_ohm_resistor_0805,32.52,-76.463,0,top
JP803,0R,zero_ohm_resistor_0805,11.763,-91.474,0,top
JP901,0R,zero_ohm_resistor_0805,48.514,-39.878,0,top
JP902,0R,zero_ohm_resistor_0805,69.019,-39.85,0,top
JP903,0R,zero_ohm_resistor_0805,48.262,-54.861,0,top
JP1001,0R,zero_ohm_resistor_0805,47.474,-14.676,180,top
JP1002,0R,zero_ohm_resistor_0805,68.969,-14.651,0,top
JP1003,0R,zero_ohm_resistor_0805,47.244,-29.718,180,top
JP1101,0R,zero_ohm_resistor_0805,47.651,-102.269,180,top
JP1102,0R,zero_ohm_resistor_0805,69.146,-102.244,0,top
JP1103,0R,zero_ohm_resistor_0805,48.389,-117.255,0,top
JP1201,0R,zero_ohm_resistor_0805,47.574,-76.578,180,top
JP1202,0R,zero_ohm_resistor_0805,69.069,-76.553,0,top
JP1203,0R,zero_ohm_resistor_0805,48.312,-91.564,0,top
JP1301,0R,zero_ohm_resistor_0805,84.304,-39.859,180,top
JP1302,0R,zero_ohm_resistor_0805,105.799,-39.834,0,top
JP1303,0R,zero_ohm_resistor_0805,85.042,-54.845,0,top
JP1401,0R,zero_ohm_resistor_0805,84.227,-14.549,180,top
JP1402,0R,zero_ohm_resistor_0805,105.722,-14.524,0,top
JP1403,0R,zero_ohm_resistor_0805,84.965,-29.535,0,top
JP1501,0R,zero_ohm_resistor_0805,85.344,-102.108,0,top
JP1502,0R,zero_ohm_resistor_0805,105.767,-102.235,0,top
JP1503,0R,zero_ohm_resistor_0805,85.01,-117.246,0,top
JP1601,0R,zero_ohm_resistor_0805,84.145,-76.593,180,top
JP1602,0R,zero_ohm_resistor_0805,105.64,-76.568,0,top
JP1603,0R,zero_ohm_resistor_0805,84.883,-91.579,0,top
Q101,MMBT3904,SOT-23,199.644,-139.7,0,top
Q201,MMBT5401,SOT-23,225.044,-55.753,0,top
R101,1K,R_0805_2012Metric,181.102,-121.412,90,top
R102,1K,R_0805_2012Metric,124.714,-96.012,180,top
R103,1K,R_0805_2012Metric,199.644,-142.748,0,top
R104,10K,R_0805_2012Metric,199.644,-136.652,0,top
R105,1K,R_0805_2012Metric,181.102,-93.218,90,top
R106,1K,R_0805_2012Metric,124.968,-110.236,180,top
R107,1K,R_0805_2012Metric,181.102,-107.442,90,top
R108,1K,R_0805_2012Metric,124.968,-124.206,180,top
R109,10K,R_0805_2012Metric,163.576,-48.006,0,top
R110,100R,R_0805_2012Metric,216.916,-120.65,270,top
R111,10R,R_0805_2012Metric,216.916,-117.094,90,top
R112,10R,R_0805_2012Metric,216.916,-113.538,90,top
R113,10K,R_0805_2012Metric,124.333,-28.956,180,top
R114,10K,R_0805_2012Metric,120.904,-28.956,180,top
R115,10K,R_0805_2012Metric,120.904,-30.988,180,top
R116,10K,R_0805_2012Metric,120.904,-35.052,180,top
R117,10K,R_0805_2012Metric,120.904,-33.02,180,top
R118,10K,R_0805_2012Metric,120.904,-37.084,180,top
R119,1K,R_0805_2012Metric,120.904,-53.34,0,top
R120,10K,R_0805_2012Metric,120.904,-51.308,180,top
R121,1K,R_0805_2012Metric,120.904,-55.372,180,top
R122,10K,R_0805_2012Metric,120.904,-49.276,0,top
R123,10K,R_0805_2012Metric,124.46,-47.244,180,top
R124,10K,R_0805_2012Metric,120.904,-45.212,180,top
R125,10K,R_0805_2012Metric,120.904,-47.244,180,top
R126,1K,R_0805_2012Metric,228.854,-100.076,0,top
R127,1K,R_0805_2012Metric,228.854,-102.87,0,top
R128,1K,R_0805_2012Metric,228.854,-105.664,0,top
R129,1K,R_0805_2012Metric,228.854,-108.331,0,top
R130,1K,R_0805_2012Metric,228.854,-97.282,0,top
R131,1K,R_0805_2012Metric,228.854,-94.488,0,top
R132,1K,R_0805_2012Metric,228.854,-91.694,0,top
R133,1K,R_0805_2012Metric,228.854,-88.9,0,top
R134,10K,R_0805_2012Metric,120.904,-41.148,180,top
R135,10K,R_0805_2012Metric,120.904,-39.116,180,top
R136,10K,R_0805_2012Metric,120.904,-43.18,180,top
R137,1K,R_0805_2012Metric,120.904,-59.436,0,top
R138,10K,R_0805_2012Metric,120.904,-61.468,180,top
R139,1K,R_0805_2012Metric,120.904,-57.404,180,top
R140,10K,R_0805_2012Metric,120.904,-63.5,0,top
R141,10K,R_0805_2012Metric,133.731,-43.18,0,top
R142,10K,R_0805_2012Metric,133.731,-39.116,0,top
R143,10K,R_0805_2012Metric,133.731,-41.148,0,top
R144,10K,R_0805_2012Metric,133.731,-35.052,0,top
R145,10K,R_0805_2012Metric,133.731,-33.02,0,top
R146,10K,R_0805_2012Metric,133.731,-37.084,0,top
R147,1K,R_0805_2012Metric,133.604,-56.642,0,top
R148,10K,R_0805_2012Metric,133.604,-60.706,0,top
R149,1K,R_0805_2012Metric,133.604,-54.61,0,top
R150,10K,R_0805_2012Metric,133.604,-58.674,0,top
R201,100R,R_0805_2012Metric,216.408,-77.089,90,top
R202,1K,R_0805_2012Metric,212.979,-55.118,180,top
R203,0R,R_0805_2012Metric,224.917,-70.231,180,top
R204,1K,R_0805_2012Metric,224.917,-64.135,180,top
R205,100K,R_0805_2012Metric,212.979,-57.023,0,top
R206,1K,R_0805_2012Metric,224.917,-58.547,0,top
R207,100K,R_0805_2012Metric,212.979,-53.213,0,top
R208,1K,R_0805_2012Metric,212.979,-60.833,0,top
R209,0R,R_0805_2012Metric,216.535,-53.213,180,top
R210,100R,R_0805_2012Metric,214.376,-77.089,270,top
R211,100K,R_0805_2012Metric,216.535,-57.023,180,top
R212,1K,R_0805_2012Metric,223.774,-73.533,90,top
R213,0R,R_0805_2012Metric,210.058,-58.039,270,top
R214,1K,R_0805_2012Metric,224.917,-66.167,0,top
R215,1K,R_0805_2012Metric,216.535,-55.118,180,top
R216,1K,R_0805_2012Metric,219.964,-77.089,90,top
R217,1K,R_0805_2012Metric,221.869,-77.089,270,top
R218,1K,R_0805_2012Metric,221.869,-73.533,270,top
R219,1K,R_0805_2012Metric,225.679,-73.533,90,top
R220,0R,R_0805_2012Metric,216.535,-58.928,0,top
R221,1K,R_0805_2012Metric,224.917,-68.199,180,top
R222,0R,R_0805_2012Metric,220.218,-62.865,180,top
R223,0R,R_0805_2012Metric,210.058,-62.484,90,top
R224,10K,R_0805_2012Metric,216.535,-62.865,0,top
R225,1K,R_0805_2012Metric,216.535,-60.833,0,top
R226,1K,R_0805_2012Metric,224.917,-52.832,180,top
R227,0R,R_0805_2012Metric,210.058,-69.723,270,top
R228,1K,R_0805_2012Metric,220.98,-53.213,0,top
R229,1K,R_0805_2012Metric,212.217,-69.723,270,top
R230,10K,R_0805_2012Metric,211.201,-77.089,90,top
